Name;Author;URL;Price;Number of Ratings;Average Rating
Last Week Tonight with John Oliver Presents a Day in the Life of Marlon Bundo;Jill Twiss;https://www.amazon.com/Tonight-Oliver-Presents-Marlon-Bundo/dp/145217380X?_encoding=UTF8&psc=1;$11.99;4,780;4.9 out of 5 stars
12 Rules for Life: An Antidote to Chaos;Jordan B. Peterson;https://www.amazon.com/12-Rules-Life-Antidote-Chaos/dp/0345816021?_encoding=UTF8&psc=1;$15.57;1,559;4.7 out of 5 stars
Llama Llama Easter Egg;Anna Dewdney;https://www.amazon.com/Llama-Easter-Egg-Anna-Dewdney/dp/0451469828?_encoding=UTF8&psc=1;$5.99;215;4.5 out of 5 stars
The Don't Laugh Challenge - Easter Edition: Easter Edition - Don't Laugh Challenge: Easter Joke Book for Kids with Knock-Knock Jokes and Riddles Included;Don't Laugh Joke;https://www.amazon.com/Dont-Laugh-Challenge-Knock-Knock-Included/dp/1945006803?_encoding=UTF8&psc=1;$8.09;11;5.0 out of 5 stars
Secret Empires: How the American Political Class Hides Corruption and Enriches Family and Friends;Peter Schweizer;https://www.amazon.com/Secret-Empires-American-Political-Corruption/dp/0062569368?_encoding=UTF8&psc=1;$17.39;29;4.5 out of 5 stars
A Higher Loyalty: Truth, Lies, and Leadership;James Comey;https://www.amazon.com/Higher-Loyalty-Truth-Lies-Leadership/dp/1250192455?_encoding=UTF8&psc=1;$15.99;Not Available;Not Available
Easter Eggstravaganza Mad Libs;Roger Price;https://www.amazon.com/Easter-Eggstravaganza-Libs-Roger-Price/dp/0843172525?_encoding=UTF8&psc=1;$4.99;135;4.6 out of 5 stars
Player's Handbook (Dungeons & Dragons);Wizards RPG Team;https://www.amazon.com/Players-Handbook-Dungeons-Dragons-Wizards/dp/0786965606?_encoding=UTF8&psc=1;$27.27;2,504;4.6 out of 5 stars
God Gave Us Easter;Lisa Tawn Bergren;https://www.amazon.com/Gave-Easter-Lisa-Tawn-Bergren/dp/0307730727?_encoding=UTF8&psc=1;$8.62;254;4.6 out of 5 stars
Little Blue Truck's Springtime;Alice Schertle;https://www.amazon.com/Little-Trucks-Springtime-Alice-Schertle/dp/0544938097?_encoding=UTF8&psc=1;$9.32;73;3.7 out of 5 stars
Ready Player One: A Novel;Ernest Cline;https://www.amazon.com/Ready-Player-One-Ernest-Cline/dp/0307887448?_encoding=UTF8&psc=1;$8.79;16,389;4.6 out of 5 stars
Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump;Michael Isikoff;https://www.amazon.com/Russian-Roulette-Inside-America-Election/dp/1538728753?_encoding=UTF8&psc=1;$18.00;149;4.6 out of 5 stars
Food: What the Heck Should I Eat?;Mark Hyman M.D.;https://www.amazon.com/Food-What-Heck-Should-Eat/dp/0316338869?_encoding=UTF8&psc=1;$16.80;176;4.6 out of 5 stars
Pete the Cat: Big Easter Adventure;James Dean;https://www.amazon.com/Pete-Cat-Big-Easter-Adventure/dp/006219867X?_encoding=UTF8&psc=1;$7.18;213;4.6 out of 5 stars
Marlon Bundo's Day in the Life of the Vice President;Charlotte Pence;https://www.amazon.com/Marlon-Bundos-Life-Vice-President/dp/1621577767?_encoding=UTF8&psc=1;$12.04;242;4.5 out of 5 stars
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life;Mark Manson;https://www.amazon.com/Subtle-Art-Not-Giving-Counterintuitive/dp/0062457713?_encoding=UTF8&psc=1;$14.99;3,263;4.4 out of 5 stars
Pinkalicious: Eggstraordinary Easter;Victoria Kann;https://www.amazon.com/Pinkalicious-Eggstraordinary-Easter-Victoria-Kann/dp/0062187724?_encoding=UTF8&psc=1;$4.74;93;4.7 out of 5 stars
Happy Easter, Little Critter (Little Critter) (Look-Look);Mercer Mayer;https://www.amazon.com/Happy-Easter-Little-Critter-Look-Look/dp/0307117235?_encoding=UTF8&psc=1;$3.78;105;4.5 out of 5 stars
The Berenstain Bears and the Easter Story: Stickers Included! (Berenstain Bears/Living Lights);Mike Berenstain;https://www.amazon.com/Berenstain-Bears-Easter-Story-Stickers/dp/0310720877?_encoding=UTF8&psc=1;$4.01;344;4.6 out of 5 stars
Genius Foods: Become Smarter, Happier, and More Productive While Protecting Your Brain for Life;Max Lugavere;https://www.amazon.com/Genius-Foods-Smarter-Productive-Protecting/dp/0062562851?_encoding=UTF8&psc=1;$16.79;46;5.0 out of 5 stars
Happy Easter, Mouse! (If You Give...);Laura Numeroff;https://www.amazon.com/Happy-Easter-Mouse-You-Give/dp/0694014222?_encoding=UTF8&psc=1;$5.63;282;4.5 out of 5 stars
First 100 Words;Roger Priddy;https://www.amazon.com/First-100-Words-Roger-Priddy/dp/0312510780?_encoding=UTF8&psc=1;$4.34;7,805;4.6 out of 5 stars
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4);Dav Pilkey;https://www.amazon.com/Dog-Man-Cat-Kid-Underpants/dp/0545935180?_encoding=UTF8&psc=1;$6.40;342;4.9 out of 5 stars
Peppa's Easter Egg Hunt (Peppa Pig);Scholastic;https://www.amazon.com/Peppas-Easter-Egg-Hunt-Peppa/dp/0545881307?_encoding=UTF8&psc=1;$3.99;185;4.8 out of 5 stars
A Wrinkle in Time (Time Quintet);Madeleine L'Engle;https://www.amazon.com/Wrinkle-Time-Quintet/dp/0312367546?_encoding=UTF8&psc=1;$6.02;2,997;4.5 out of 5 stars
Little Fires Everywhere;Celeste Ng;https://www.amazon.com/Little-Fires-Everywhere-Celeste-Ng/dp/0735224293?_encoding=UTF8&psc=1;$15.28;2,065;4.4 out of 5 stars
The 5 Love Languages: The Secret to Love that Lasts;Gary Chapman;https://www.amazon.com/Love-Languages-Secret-that-Lasts/dp/080241270X?_encoding=UTF8&psc=1;$9.59;12,698;4.8 out of 5 stars
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life;Jen Sincero;https://www.amazon.com/You-Are-Badass-Doubting-Greatness/dp/0762447699?_encoding=UTF8&psc=1;$9.89;3,353;4.6 out of 5 stars
Giraffes Can't Dance;Giles Andreae;https://www.amazon.com/Giraffes-Cant-Dance-Giles-Andreae/dp/0545392551?_encoding=UTF8&psc=1;$5.06;3,822;4.7 out of 5 stars
Goodnight Moon;Margaret Wise Brown;https://www.amazon.com/Goodnight-Moon-Margaret-Wise-Brown/dp/0694003611?_encoding=UTF8&psc=1;$5.93;3,181;4.7 out of 5 stars
Count on the Easter Pups! (PAW Patrol);Random House;https://www.amazon.com/Count-Easter-Pups-PAW-Patrol/dp/1524768723?_encoding=UTF8&psc=1;$6.28;4;5.0 out of 5 stars
Milk and Honey;Rupi Kaur;https://www.amazon.com/Milk-Honey-Rupi-Kaur/dp/144947425X?_encoding=UTF8&psc=1;$8.99;5,357;4.6 out of 5 stars
The Great Easter Race! (Sesame Street Scribbles);Sesame Workshop;https://www.amazon.com/Great-Easter-Sesame-Street-Scribbles/dp/1492638374?_encoding=UTF8&psc=1;$6.10;8;5.0 out of 5 stars
The Splat: Coloring the '90s (Nickelodeon) (Adult Coloring Book);Random House;https://www.amazon.com/Splat-Coloring-Nickelodeon-Adult-Book/dp/1524715212?_encoding=UTF8&psc=1;$12.34;143;4.6 out of 5 stars
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle;Amy Ramos;https://www.amazon.com/Complete-Ketogenic-Diet-Beginners-Essential/dp/1623158087?_encoding=UTF8&psc=1;$9.36;689;4.2 out of 5 stars
Wonder;R. J. Palacio;https://www.amazon.com/Wonder-R-J-Palacio/dp/0375869026?_encoding=UTF8&psc=1;$10.19;12,589;4.9 out of 5 stars
The Wonderful Things You Will Be;Emily Winfield Martin;https://www.amazon.com/Wonderful-Things-You-Will-Be/dp/0385376715?_encoding=UTF8&psc=1;$11.75;1,445;4.8 out of 5 stars
